*ERROR* 	2015/04/26 - 10:53:58: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:53:59: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:54:26: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:57:52: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:58:02: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:59:22: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 10:59:29: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 11:01:57: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 11:01:57: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/04/26 - 11:03:24: Shop not found at line 400 in file classes/shop/Shop.php
