id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;default_on;
"2017";"FarmFresh Pitaya  Dragon Fruit";"Quantity";"1 kg";"AA20172103";"270.000000";"300.000000";"50";"0";
"2017";"FarmFresh Pitaya  Dragon Fruit";"Quantity";"0.5 kg";"AA20172205";"135.000000";"150.000000";"50";"1";
"2018";"FarmFresh Gavaar - ClusterBeans";"Quantity";"5 kg";"AA20182005";"295.000000";"450.000000";"50";"0";
"2018";"FarmFresh Gavaar - ClusterBeans";"Quantity";"1 kg";"AA20182105";"29.000000";"90.000000";"50";"0";
"2018";"FarmFresh Gavaar - ClusterBeans";"Quantity";"0.20 kg";"AA20182207";"13.000000";"18.000000";"48";"1";
"2019";"FarmFresh French Beans";"Quantity";"3 kg";"AA20192006";"324.000000";"360.000000";"0";"0";
"2019";"FarmFresh French Beans";"Quantity";"500 gm";"AA20192106";"54.000000";"60.000000";"0";"0";
"2019";"FarmFresh French Beans";"Quantity";"250 gm";"AA20192208";"27.000000";"30.000000";"0";"1";
"2020";"FarmFresh  Drum Stick - Shevaga";"Quantity";"1 kg";"AA20202007";"60.000000";"120.000000";"50";"0";
"2020";"FarmFresh  Drum Stick - Shevaga";"Quantity";"500 gm";"AA20202107";"30.000000";"60.000000";"50";"0";
"2020";"FarmFresh  Drum Stick - Shevaga";"Quantity";"250 gm";"AA20202209";"16.000000";"30.000000";"50";"1";
"2021";"FarmFresh Bitter - Gourd  Karela";"Quantity";"3 kg";"AA20212008";"205.200000";"240.000000";"50";"0";
"2021";"FarmFresh Bitter - Gourd  Karela";"Quantity";"0.5 kg";"AA20212108";"34.200000";"40.000000";"47";"0";
"2021";"FarmFresh Bitter - Gourd  Karela";"Quantity";"0.25 kg";"AA20212210";"17.100000";"20.000000";"48";"1";
"2022";"FarmFresh RidgeGourd  Dodaka";"Quantity";"3 kg";"AA20222009";"194.400000";"216.000000";"50";"0";
"2022";"FarmFresh RidgeGourd  Dodaka";"Quantity";"0.5 kg";"AA20222109";"32.400000";"36.000000";"50";"0";
"2022";"FarmFresh RidgeGourd  Dodaka";"Quantity";"0.25 kg";"AA20222211";"16.200000";"18.000000";"50";"1";
"2023";"FarmFresh Green Peas - Class A";"Quantity";"3 kg";"AA20232010";"280.800000";"456.000000";"50";"0";
"2023";"FarmFresh Green Peas - Class A";"Quantity";"0.5 kg";"AA20232110";"46.800000";"76.000000";"47";"0";
"2023";"FarmFresh Green Peas - Class A";"Quantity";"0.25 kg";"AA20232212";"23.400000";"38.000000";"47";"1";
"2024";"FarmFresh Chana - Sprouts";"Quantity";"3 kg";"AA20242011";"216.000000";"240.000000";"50";"0";
"2024";"FarmFresh Chana - Sprouts";"Quantity";"0.5 kg";"AA20242111";"36.000000";"40.000000";"50";"0";
"2024";"FarmFresh Chana - Sprouts";"Quantity";"0.25 kg";"AA20242213";"18.000000";"20.000000";"50";"1";
"2025";"FarmFresh Peas - Sprouts";"Quantity";"3 kg";"AA20252012";"216.000000";"240.000000";"50";"0";
"2025";"FarmFresh Peas - Sprouts";"Quantity";"0.5 kg";"AA20252112";"36.000000";"40.000000";"50";"0";
