id_product;active;product_name;manufacturer;attribute_name;wholesale_price;price;quantity;
"42";"0";"Fortune Mustard Oil - Kachi Ghani Jar Package";"Fortune";"500 ml";"69.300000";"77.000000";"0";
"43";"1";"Dhara Mustard Oil-Kachi Ghani";"Dhara";"1 ltr";"115.000000";"135.000000";"47";
"44";"1";"Dhara Mustard Oil-Kachi Ghani";"";"5 ltr";"599.000000";"695.000000";"49";
"45";"0";"Engine Mustard Oil Grade - Pouch";"";"";"";"";"";
"46";"0";"Engine Mustard Oil Grade";"";"";"";"";"";
"47";"0";"Scooter Mustard Oil Grade - Pouch";"";"";"";"";"";
"48";"0";"Scooter Mustard Oil Grade - Jar Package";"";"";"";"";"";
"49";"1";"Brooke Bond Red Label-Tasty & Healthy";"Brooke Bond";"100 gm";"40.000000";"49.000000";"50";
"49";"1";"Brooke Bond Red Label-Tasty & Healthy";"Brooke Bond";"250 gm";"101.000000";"112.000000";"40";
"49";"1";"Brooke Bond Red Label-Tasty & Healthy";"Brooke Bond";"500 gm";"178.000000";"192.000000";"45";
"49";"1";"Brooke Bond Red Label-Tasty & Healthy";"Brooke Bond";"1 kg";"315.000000";"350.000000";"43";
"51";"1";"Pantene Pro-V Lively Clean Shampoo";"Pantene";"80 ml";"67.500000";"75.000000";"50";
"61";"1";"Pantene Pro-V Anti Dandruff Shampoo";"Pantene";"180 ml";"139.500000";"155.000000";"50";
"62";"1";"Fortune Filtered Groundnut Oil";"Fortune";"1 ltr";"162.000000";"170.000000";"48";
"63";"1";"Fortune Rice Bran Health Oil";"Fortune";"1 ltr";"103.500000";"115.000000";"50";
"64";"1";"Fortune Mustard Oil - Kachi Ghani";"Fortune";"500 ml";"65.000000";"72.000000";"49";
"64";"1";"Fortune Mustard Oil - Kachi Ghani";"Fortune";"1 ltr";"125.000000";"142.000000";"49";
"65";"1";"Fortune Plus Soya Health - Jar Package";"Fortune";"5 ltr";"432.000000";"480.000000";"46";
"66";"1";"Fortune Sunlite Refined Oil - Jar Package";"Fortune";"5 ltr";"540.000000";"600.000000";"46";
"67";"0";"Nature Fresh Acti-Lite - Pouch Package";"Nature Fresh";"";"";"";"";
"68";"1";"Gemini Vanaspati - Pouch Package";"Gemini";"1 ltr";"85.000000";"95.000000";"47";
"68";"1";"Gemini Vanaspati - Pouch Package";"Gemini";"500 ml";"45.000000";"50.000000";"50";
"69";"1";"Gemini Pure Groundnut Oil - Pouch Package";"Gemini";"1 ltr";"108.000000";"170.000000";"45";
"70";"0";"Gemini Gold - Sunflower + Olive Oil Pouch Package";"Gemini";"1 ltr";"81.000000";"135.000000";"48";
"72";"1";"Fortune Sunlite Oil - Pouch Package";"Fortune";"1 ltr";"103.500000";"115.000000";"43";
"73";"1";"Fortune Sunlite Oil - Bottle Package";"Fortune";"500 ml";"58.500000";"65.000000";"48";
"74";"1";"Sundrop Lite ";"Sundrop";"5 ltr";"436.500000";"485.000000";"50";
"74";"1";"Sundrop Lite ";"Sundrop";"1 ltr";"165.000000";"175.000000";"49";
"74";"1";"Sundrop Lite ";"Sundrop";"500 ml";"45.000000";"50.000000";"50";
"75";"1";"Saffola Gold - Losorb Technology Pouch Package";"Saffola";"1 ltr";"135.000000";"150.000000";"45";
"76";"1";"Gemini Mustard Oil - Bottle Package";"Gemini";"1 ltr";"117.000000";"135.000000";"42";
"76";"1";"Gemini Mustard Oil - Bottle Package";"Gemini";"500 ml";"63.000000";"67.000000";"49";
"78";"1";"Pillsbury Chakki Fresh Atta";"Pillsbury";"10 kg";"351.000000";"390.000000";"50";
"78";"1";"Pillsbury Chakki Fresh Atta";"Pillsbury";"1 kg";"39.600000";"44.000000";"50";
"78";"1";"Pillsbury Chakki Fresh Atta";"Pillsbury";"5 kg";"171.000000";"190.000000";"50";
"78";"1";"Pillsbury Chakki Fresh Atta";"Pillsbury";"2 Kg";"80.000000";"86.000000";"49";
"79";"1";"Pantene Pro-V Daily Moisture Repair Conditioner";"Pantene";"80 ml";"67.500000";"75.000000";"50";
"80";"1";" Aashirvaad Atta - With Multigrains";"Aashirwaad";"5 kg";"225.000000";"255.000000";"45";
"81";"1";"Aashirvaad Sudh Chakki Atta";"Aashirwaad";"1 kg";"38.000000";"42.000000";"50";
"81";"1";"Aashirvaad Sudh Chakki Atta";"Aashirwaad";"5 kg";"171.000000";"190.000000";"49";
"83";"1";"Brooke Bond Red Label - Special";"Brooke Bond";"250 gm";"105.300000";"117.000000";"50";
"83";"1";"Brooke Bond Red Label - Special";"Brooke Bond";"500 gm";"209.700000";"233.000000";"50";
"84";"1";"Brooke Bond Taj Mahal - Cardamom Tea bag";"Brooke Bond";"25 bags";"135.000000";"150.000000";"50";
"85";"1";"Brooke Bond Taj Mahal - Green tea bag";"Brooke Bond";"25 bags";"135.000000";"150.000000";"50";
"85";"1";"Brooke Bond Taj Mahal - Green tea bag";"Brooke Bond";"10 bags";"54.000000";"60.000000";"50";
"86";"1";"Brooke Bond Taj Mahal";"Brooke Bond";"100 gm";"44.100000";"49.000000";"50";
