id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;category;default_on;
"31";"Shower to Shower Prickly Heat Powder - Colonge Cool";"Quantity";"75 gm";"AAAAAA3140";"40.500000";"45.000000";"50";"Talc";"0";
"32";"Shower to Shower Prickly Heat Powder - Sandal";"Quantity";"150 gm";"AAAAAA3241";"58.500000";"65.000000";"50";"Talc";"1";
"33";"Axe Denim Colonge Talc";"Quantity";"100 gm";"AAAAAA3342";"54.000000";"60.000000";"50";"Talc";"1";
"33";"Axe Denim Colonge Talc";"Quantity";"300 gm";"AAAAAA3343";"103.500000";"115.000000";"50";"Talc";"0";
"34";"Medimix Watermelon Prickly Heat Powder";"";"";"";"";"";"";"Talc";"";
"35";"Medimix Prickly Heat Powder";"Numbers";"Pack of 3";"AAAAAA3544";"45.000000";"50.000000";"50";"Talc";"1";
"36";"Sudha Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"36";"Sudha Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"37";"Amul Pure Ghee";"Volume";"1 ltr";"AAAAAA3745";"343.800000";"382.000000";"50";"Ghee";"1";
"37";"Amul Pure Ghee";"Volume";"1 ltr";"AAAAAA3745";"343.800000";"382.000000";"50";"Ghee";"1";
"38";"Britannia Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"38";"Britannia Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"39";"Anik Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"39";"Anik Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"40";"Ganesh Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"40";"Ganesh Pure Ghee";"";"";"";"";"";"";"Ghee";"";
"42";"Fortune Mustard Oil - Kachi Ghani Jar Package";"Volume";"1 ltr";"AAAAAA4246";"127.800000";"142.000000";"50";"Mustard Oil";"1";
"42";"Fortune Mustard Oil - Kachi Ghani Jar Package";"Volume";"500 ml";"AAAAAA4247";"69.300000";"77.000000";"50";"Mustard Oil";"0";
"42";"Fortune Mustard Oil - Kachi Ghani Jar Package";"Volume";"1 ltr";"AAAAAA4246";"127.800000";"142.000000";"50";"Mustard Oil";"1";
"42";"Fortune Mustard Oil - Kachi Ghani Jar Package";"Volume";"500 ml";"AAAAAA4247";"69.300000";"77.000000";"50";"Mustard Oil";"0";
"43";"Dhara Mustard Oil-Kachi Ghani";"Volume";"1 ltr";"AAAAAA4348";"113.400000";"126.000000";"50";"Mustard Oil";"1";
"43";"Dhara Mustard Oil-Kachi Ghani";"Volume";"1 ltr";"AAAAAA4348";"113.400000";"126.000000";"50";"Mustard Oil";"1";
"44";"Dhara Mustard Oil-Kachi Ghani";"";"";"";"";"";"";"Grocery & Staples";"";
"44";"Dhara Mustard Oil-Kachi Ghani";"";"";"";"";"";"";"Grocery & Staples";"";
"45";"Engine Mustard Oil Grade - Pouch";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"45";"Engine Mustard Oil Grade - Pouch";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"46";"Engine Mustard Oil Grade";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"46";"Engine Mustard Oil Grade";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"47";"Scooter Mustard Oil Grade - Pouch";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"47";"Scooter Mustard Oil Grade - Pouch";"";"";"";"";"";"";"Edible Oils & Ghee";"";
